20190523-083342,Acceleration (m/s^2),Magnetometer (uTesla),Gyroscope (radians/s)20190523-083342,(-0.002,-0.651,10.093),(55.100,-1.800,-17.600),(-0.883,2.688,0.281)
20190523-083354,(0.000,-0.665,10.059),(56.000,-0.600,-17.900),(-0.852,2.781,-0.125)
20190523-083354,(0.010,-0.692,10.184),(55.900,-1.400,-18.800),(-0.734,2.703,0.062)
20190523-083354,(0.012,-0.682,10.100),(56.300,-2.000,-17.900),(-0.828,2.477,-0.273)
20190523-083354,(0.012,-0.663,10.071),(56.500,-0.700,-18.000),(-0.906,3.016,0.156)
20190523-083354,(-0.002,-0.675,10.138),(56.000,-0.800,-18.500),(-0.805,2.766,-0.125)
20190523-083355,(0.005,-0.672,10.129),(55.800,-1.000,-17.600),(-0.625,2.719,-0.281)
20190523-083355,(0.002,-0.658,10.153),(55.800,-0.500,-18.500),(-1.086,2.625,-0.008)
20190523-083355,(0.005,-0.663,10.079),(56.500,-0.600,-17.000),(-0.945,2.844,-0.008)
20190523-083355,(0.010,-0.675,10.095),(55.900,-1.400,-16.800),(-0.820,2.312,-0.141)
20190523-083355,(0.000,-0.665,10.067),(55.400,-0.400,-18.600),(-0.938,3.180,0.055)
20190523-083355,(-0.007,-0.658,10.131),(57.600,-1.600,-18.300),(-1.031,2.578,0.211)
20190523-083355,(0.005,-0.660,10.117),(55.800,-1.300,-17.500),(-0.461,2.758,-0.078)
20190523-083355,(0.007,-0.672,10.050),(56.400,-0.700,-17.800),(-0.992,2.797,0.086)
20190523-083355,(0.002,-0.665,10.138),(55.700,-1.700,-18.800),(-0.914,2.734,0.008)
20190523-083356,(0.002,-0.663,10.124),(55.900,-1.400,-17.300),(-0.703,2.609,-0.188)
20190523-083356,(-0.005,-0.665,10.057),(55.100,-1.500,-18.200),(-0.922,2.781,-0.258)
20190523-083356,(0.000,-0.663,10.126),(56.000,-0.900,-18.800),(-0.445,2.617,0.172)
20190523-083356,(-0.005,-0.658,10.146),(56.100,-1.900,-17.400),(-0.961,2.820,-0.008)
20190523-083356,(0.005,-0.670,10.067),(55.700,-1.400,-17.700),(-0.734,2.992,0.086)
20190523-083356,(0.002,-0.656,10.105),(56.700,-0.500,-17.300),(-1.227,2.680,-0.055)
20190523-083356,(0.000,-0.670,10.155),(56.100,-0.500,-17.700),(-1.336,2.914,-0.211)
20190523-083356,(-0.002,-0.660,10.091),(56.000,-1.300,-20.100),(-0.828,2.656,-0.281)
20190523-083356,(0.000,-0.665,10.100),(56.900,-1.300,-18.400),(-0.836,2.672,0.078)
20190523-083357,(0.005,-0.660,10.047),(56.200,-0.600,-19.100),(-0.781,2.609,-0.117)
